,Network size,Bubble size,PCR frequency,R,mean,sd
0,100,none,monthly,2.4,69.77166666666666,10.971548007184891
1,100,none,none,2.4,74.00027440381888,11.36209585502749
2,100,none,semiweekly,2.4,41.91285714285714,13.63294174710918
3,100,none,weekly,2.4,54.066428571428574,13.633364045263546
4,100,none,workday,2.4,31.816296092224825,12.552006922041153
