"Network.size","Bubble.size","PCR.frequency","R","Percentage.infected","sd"
250,"none","semiweekly",2.5,51.7555555555556,6.78497179757638
250,"none","semiweekly",3,59.8666666666667,7.65815813263393
250,"none","weekly",1,24.4923076923077,4.28218775905479
250,"none","weekly",1.5,37.9538461538462,6.99962690635081
250,"none","weekly",2,50.6615384615385,7.42093494134053
250,"none","weekly",2.5,65.3230769230769,6.8157128108957
250,"none","weekly",3,71.8461538461538,5.44396474426058
250,"none","workday",1,19.7384615384615,4.82495097869591
250,"none","workday",1.5,26.0461538461538,5.87007153202353
250,"none","workday",2,31.9076923076923,6.98261305602841
250,"none","workday",2.5,42.5846153846154,6.19112344382473
250,"none","workday",3,48.7846153846154,6.04890640991704
500,"10","monthly",1,25.5272727272727,2.70748183065087
500,"10","monthly",1.5,33.9818181818182,3.43602059919064
500,"10","monthly",2,42.6,4.8690891547681
500,"10","monthly",2.5,54.3454545454545,5.58026430390116
500,"10","monthly",3,63.4727272727273,4.78308510469749
500,"10","none",1,25.9454545454545,3.45153188151735
500,"10","none",1.5,36.2727272727273,4.97605413933683
500,"10","none",2,46.9272727272727,5.36566043259384
500,"10","none",2.5,57.9272727272727,5.57580325611439
500,"10","none",3,67.2545454545455,4.84887744484392
500,"10","semiweekly",1,19.7111111111111,2.7673788791622
500,"10","semiweekly",1.5,23.5888888888889,3.26062716844142
500,"10","semiweekly",2,28.6222222222222,3.14845081801423
500,"10","semiweekly",2.5,33.3555555555556,3.98917085597446
500,"10","semiweekly",3,38.3222222222222,4.74213306218661
500,"10","weekly",1,22.0545454545455,2.73139480570004
500,"10","weekly",1.5,26.5818181818182,3.36735567966778
500,"10","weekly",2,32.6727272727273,4.54119242779078
500,"10","weekly",2.5,40.5272727272727,4.82486921820619
500,"10","weekly",3,48.4545454545455,4.69826098367647
500,"10","workday",1,18.8909090909091,2.57495466101909
500,"10","workday",1.5,21.0545454545455,2.47187229061324
500,"10","workday",2,24.8545454545455,2.88728765338064
500,"10","workday",2.5,28.3090909090909,4.13226898697997
500,"10","workday",3,32.8727272727273,4.06181499763141
500,"25","monthly",1,28.9272727272727,3.29152054502795
500,"25","monthly",1.5,40.8,4.38727423151115
500,"25","monthly",2,51.2181818181818,5.39900946947614
500,"25","monthly",2.5,64.2727272727273,4.32044260309777
500,"25","monthly",3,73.6,4.07323469443051
500,"25","none",1,30.9272727272727,3.59873530834222
500,"25","none",1.5,44.3090909090909,5.42322905694699
500,"25","none",2,58.8727272727273,4.6797223132359
500,"25","none",2.5,70.3090909090909,4.25412091870641
500,"25","none",3,77.4181818181818,3.9137177291128
500,"25","semiweekly",1,21.0888888888889,2.72443907726886
500,"25","semiweekly",1.5,26.7333333333333,4.3069129830804
500,"25","semiweekly",2,31.9666666666667,3.77465937438844
500,"25","semiweekly",2.5,38.4555555555556,4.79887155606327
500,"25","semiweekly",3,47.7555555555556,5.03891664979529
500,"25","weekly",1,24.1636363636364,2.52551675975083
500,"25","weekly",1.5,31.7454545454545,4.15141424244105
500,"25","weekly",2,38.9090909090909,4.24295348548939
500,"25","weekly",2.5,48.1818181818182,5.04755093137035
500,"25","weekly",3,57.9454545454545,4.36232285030563
500,"25","workday",1,20.2545454545455,3.09354273216002
500,"25","workday",1.5,24.1454545454545,3.0531674459843
500,"25","workday",2,27.1636363636364,3.55747201908266
500,"25","workday",2.5,32.9090909090909,4.39090270249755
500,"25","workday",3,38.4,4.73995287789568
500,"5","monthly",1,23.4909090909091,2.58344481782404
500,"5","monthly",1.5,30.6909090909091,4.25840828729942
500,"5","monthly",2,38.8727272727273,4.40659155177565
500,"5","monthly",2.5,47.9454545454545,5.35736815022208
500,"5","monthly",3,57.4545454545455,4.01101668045429
500,"5","none",1,24.6545454545455,3.48729802449009
500,"5","none",1.5,34.6181818181818,4.20935224437044
500,"5","none",2,42.0363636363636,4.84791939856917
500,"5","none",2.5,52.3636363636364,5.15937116480207
500,"5","none",3,61.9818181818182,5.05622009466099
500,"5","semiweekly",1,19.2666666666667,2.16556116801484
500,"5","semiweekly",1.5,22.6222222222222,2.65384384592825
500,"5","semiweekly",2,26.6,3.29086780363495
500,"5","semiweekly",2.5,30.6555555555556,4.9404937563386
500,"5","semiweekly",3,35.1888888888889,4.44192395468802
500,"5","weekly",1,21.3090909090909,2.6668602008957
500,"5","weekly",1.5,24.5090909090909,3.61400725519616
500,"5","weekly",2,31.2909090909091,4.26611469278515
500,"5","weekly",2.5,35.9636363636364,4.26308049909201
500,"5","weekly",3,41.7636363636364,4.50856296543271
500,"5","workday",1,17.8545454545455,2.30374323939807
500,"5","workday",1.5,20.2727272727273,2.47951126464063
500,"5","workday",2,23.4,3.09579418014819
500,"5","workday",2.5,25.6909090909091,3.34660045000854
500,"5","workday",3,29.1454545454545,4.20035704868407
500,"50","monthly",1,32.2363636363636,4.98158520033151
500,"50","monthly",1.5,47.1090909090909,5.08566299990863
500,"50","monthly",2,59.8,5.01603268944749
500,"50","monthly",2.5,73.2909090909091,3.88555591788041
500,"50","monthly",3,79.7818181818182,4.02859717796356
500,"50","none",1,34.9818181818182,4.25248278313224
500,"50","none",1.5,50.8,4.34128037892822
500,"50","none",2,66.4,4.98025297630845
500,"50","none",2.5,77.5454545454545,3.49566040573114
500,"50","none",3,83.2545454545455,3.55980286205879
